mean,scale,id,sd,moransI,fractal
-2,0.5,1,0.00370345308506042,0.000936451855171757,3.03044400866416
-1.5,0.5,2,0.00207783163168036,0.000220911926579614,3.01138810000707
-1,0.5,3,0.0011848167571305,0.0014820549157605,2.93927093817267
-0.5,0.5,4,0.000826127221244134,0.0028145599055077,2.9147406020213
0,0.5,5,0.000591367910446052,0.00332442567381718,2.9051742946019
0.5,0.5,6,0.000435352616396672,0.00465789012128765,2.87115762909116
1,0.5,7,0.000323957408851515,0.00435617093944849,2.94327195798306
1.5,0.5,8,0.000245243193801949,0.00318455292879647,2.88616815475496
-2,1,9,0.0044554392669627,0.00228899019143339,2.97648204458435
-1.5,1,10,0.00207874342146558,0.00519026269550838,2.92963258219627
-1,1,11,0.00127271744140929,0.00578757607858079,2.82677937408173
-0.5,1,12,0.000798589012602612,0.0134611147178532,2.82905286926873
0,1,13,0.000559725854620362,0.0118591893989518,2.82152374229717
0.5,1,14,0.000424908564831485,0.01532110805429,2.78907152680948
1,1,15,0.0003293879117094,0.0185818644918458,2.78152189209266
1.5,1,16,0.00024729542746188,0.0202876122131492,2.77363582318814
-2,2,17,0.00390982211527572,0.0059684170633286,2.7862262916653
-1.5,2,18,0.00186693809843141,0.0137308970404299,2.78274672612175
-1,2,19,0.00137220846527365,0.0307816305198893,2.77821117071746
-0.5,2,20,0.000789264518889844,0.0364498377723605,2.65227640170073
0,2,21,0.000556380707982351,0.0309323918015729,2.62010946536052
0.5,2,22,0.000452335734234995,0.043991518713556,2.62852772572121
1,2,23,0.000339352367962218,0.0529097071886138,2.62446331886901
1.5,2,24,0.000234424661727543,0.0650141574923083,2.64551056303046
-2,3,25,0.00401510177749526,0.00955839888033206,2.77775699410314
-1.5,3,26,0.00187502684632959,0.0276941371426999,2.66055775496307
-1,3,27,0.00136970336344591,0.0446662976088081,2.72676147472914
-0.5,3,28,0.000871721358241801,0.0580895101698789,2.57846461131221
0,3,29,0.000607060867960175,0.053937808849757,2.59902321274761
0.5,3,30,0.000412817291292636,0.0559216080787635,2.61816227049486
1,3,31,0.000313860465905336,0.0685580996315869,2.60153378803128
1.5,3,32,0.000235870586625087,0.0982508992821735,2.62551592053942
-2,4,33,0.00367994252239697,0.0237776307537053,2.76085340269457
-1.5,4,34,0.00197230367523835,0.0255051875566194,2.64229690213193
-1,4,35,0.00175731279440356,0.0292083932699145,2.67827984257746
-0.5,4,36,0.000710564161983621,0.0704054326752078,2.55041268430997
0,4,37,0.000632876351186097,0.0579908688262583,2.61477675821213
0.5,4,38,0.000465993591329014,0.079047283689222,2.5719844874002
1,4,39,0.000361682033889356,0.0847571103373648,2.62038778681157
1.5,4,40,0.000265270993272801,0.10053335235735,2.56760935778326
-2,5,41,0.00388166532978615,0.0277266728763053,2.70768768218251
-1.5,5,42,0.002067838479406,0.0579851897767952,2.73271029470034
-1,5,43,0.0013340734053778,0.0778330656825137,2.64903599198557
-0.5,5,44,0.000845615273565311,0.082588289214393,2.54287774682218
0,5,45,0.000486256473905469,0.0767717127040905,2.54553439441735
0.5,5,46,0.000417725405104986,0.081867950856341,2.56116364088765
1,5,47,0.000276674271873924,0.117792497995406,2.55741277613923
1.5,5,48,0.000206348276667764,0.119128331799262,2.56179034294836
-2,6,49,0.00298014562935971,0.0281224503393494,2.69454966105258
-1.5,6,50,0.00272314043000046,0.0442484394323228,2.58857421782474
